EmployeeNumber,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_comp_worked,Age_Over18,Work_Overtime,Salary_Hike_Percentage,Performance_Rating,Relationship_Satisfaction,Std_working_hours,Stack_Option_Level,Total_working_years,Train_time_last_year,work_life_balance,Years_company,Years_current_role,Years_Promotion,Years_curr_mangaer
476,3,Male                ,57,3,2,Sales Executive                         ,3,Married                                 ,5296.0,20156.0,1,Y         ,No        ,17.0,3,2,80,1,8.0,3,3,8.0,7.0,7.0,7.0
477,1,Male                ,98,2,2,Healthcare Representative               ,4,Single                                  ,6781.0,17078.0,3,Y         ,No        ,23.0,4,2,80,0,14.0,6,3,1.0,0.0,0.0,0.0
478,1,Female              ,99,2,1,Sales Representative                    ,2,Single                                  ,2174.0,9150.0,1,Y         ,Yes       ,11.0,3,3,80,0,3.0,3,3,3.0,2.0,1.0,2.0
479,4,Female              ,45,3,2,Sales Executive                         ,4,Single                                  ,6653.0,15276.0,4,Y         ,No        ,15.0,3,2,80,0,7.0,6,3,1.0,0.0,0.0,0.0
481,1,Male                ,48,2,3,Sales Executive                         ,4,Married                                 ,9699.0,7246.0,4,Y         ,No        ,11.0,3,1,80,1,16.0,2,3,13.0,9.0,1.0,12.0
482,4,Male                ,88,3,2,Healthcare Representative               ,3,Married                                 ,6755.0,2967.0,2,Y         ,No        ,11.0,3,3,80,0,15.0,2,3,3.0,2.0,1.0,2.0
483,4,Female              ,46,4,1,Laboratory Technician                   ,3,Married                                 ,2213.0,22495.0,3,Y         ,Yes       ,13.0,3,3,80,1,10.0,3,3,7.0,7.0,1.0,7.0
484,1,Male                ,39,3,1,Sales Representative                    ,4,Single                                  ,2610.0,2851.0,1,Y         ,No        ,24.0,4,3,80,0,3.0,3,2,3.0,2.0,2.0,2.0
485,4,Female              ,34,3,1,Sales Representative                    ,3,Single                                  ,2851.0,9150.0,1,Y         ,Yes       ,13.0,3,2,80,0,1.0,2,3,1.0,0.0,0.0,0.0
486,3,Female              ,98,3,1,Laboratory Technician                   ,1,Married                                 ,3452.0,17663.0,6,Y         ,No        ,20.0,4,2,80,1,17.0,3,3,5.0,4.0,0.0,3.0
487,3,Female              ,30,3,2,Manufacturing Director                  ,3,Married                                 ,5258.0,16044.0,2,Y         ,No        ,14.0,3,3,80,0,7.0,2,4,1.0,0.0,0.0,0.0
488,1,Male                ,56,3,2,Sales Executive                         ,2,Single                                  ,9355.0,9558.0,1,Y         ,No        ,18.0,3,3,80,0,8.0,5,3,8.0,7.0,7.0,7.0
491,4,Male                ,100,2,3,Healthcare Representative               ,4,Single                                  ,10496.0,2755.0,6,Y         ,No        ,15.0,3,4,80,0,20.0,2,3,4.0,3.0,1.0,3.0
492,3,Male                ,68,2,2,Sales Executive                         ,3,Married                                 ,6380.0,6110.0,2,Y         ,Yes       ,12.0,3,1,80,2,8.0,6,3,6.0,4.0,1.0,0.0
493,3,Male                ,42,2,1,Research Scientist                      ,2,Single                                  ,2657.0,7551.0,0,Y         ,Yes       ,16.0,3,4,80,0,3.0,5,3,2.0,2.0,2.0,2.0
494,3,Female              ,90,4,1,Sales Representative                    ,2,Single                                  ,2716.0,25422.0,1,Y         ,No        ,15.0,3,4,80,0,1.0,0,3,1.0,0.0,0.0,0.0
495,4,Male                ,54,3,1,Research Scientist                      ,4,Single                                  ,2201.0,18168.0,9,Y         ,No        ,16.0,3,4,80,0,6.0,4,3,3.0,2.0,1.0,2.0
496,3,Male                ,97,2,2,Healthcare Representative               ,2,Single                                  ,6540.0,19394.0,9,Y         ,No        ,19.0,3,3,80,0,10.0,5,3,1.0,1.0,0.0,0.0
497,4,Male                ,82,3,1,Laboratory Technician                   ,2,Divorced                                ,3816.0,17881.0,1,Y         ,No        ,11.0,3,2,80,1,5.0,2,3,5.0,2.0,0.0,4.0
498,2,Male                ,92,3,2,Sales Executive                         ,4,Single                                  ,5253.0,20750.0,1,Y         ,No        ,16.0,3,4,80,0,7.0,1,3,7.0,5.0,0.0,7.0
499,2,Male                ,31,2,3,Healthcare Representative               ,3,Single                                  ,10965.0,12066.0,8,Y         ,No        ,24.0,4,3,80,0,26.0,2,3,5.0,2.0,0.0,0.0
500,3,Female              ,87,3,2,Sales Executive                         ,4,Married                                 ,4936.0,14862.0,4,Y         ,No        ,11.0,3,3,80,1,18.0,2,2,7.0,7.0,0.0,7.0
501,4,Female              ,96,3,1,Research Scientist                      ,3,Married                                 ,2543.0,11868.0,4,Y         ,No        ,13.0,3,2,80,1,6.0,3,3,2.0,2.0,2.0,2.0
502,1,Male                ,67,4,2,Sales Executive                         ,4,Single                                  ,5304.0,4652.0,8,Y         ,Yes       ,13.0,3,2,80,0,9.0,3,2,5.0,2.0,0.0,4.0
505,3,Female              ,97,3,4,Manager                                 ,4,Single                                  ,16659.0,23258.0,2,Y         ,Yes       ,13.0,3,3,80,0,30.0,2,3,5.0,4.0,1.0,2.0
507,4,Female              ,77,3,2,Sales Executive                         ,3,Divorced                                ,4260.0,5915.0,1,Y         ,Yes       ,12.0,3,4,80,1,5.0,2,4,5.0,2.0,0.0,3.0
508,3,Male                ,72,3,1,Sales Representative                    ,2,Married                                 ,2476.0,17434.0,1,Y         ,No        ,18.0,3,1,80,1,1.0,3,3,1.0,0.0,0.0,0.0
510,3,Male                ,73,3,1,Research Scientist                      ,1,Single                                  ,3102.0,6582.0,0,Y         ,No        ,22.0,4,3,80,0,7.0,2,3,6.0,4.0,0.0,4.0
511,1,Female              ,43,3,1,Research Scientist                      ,2,Married                                 ,2244.0,24440.0,1,Y         ,No        ,13.0,3,4,80,1,2.0,1,3,2.0,1.0,1.0,2.0
513,2,Male                ,61,2,3,Sales Executive                         ,3,Married                                 ,7596.0,3809.0,1,Y         ,No        ,13.0,3,2,80,2,10.0,2,3,10.0,9.0,9.0,0.0
514,3,Male                ,40,3,1,Research Scientist                      ,4,Single                                  ,2285.0,3427.0,9,Y         ,Yes       ,23.0,4,3,80,0,3.0,4,3,1.0,0.0,0.0,0.0
515,4,Female              ,95,3,1,Laboratory Technician                   ,1,Divorced                                ,3034.0,26914.0,1,Y         ,No        ,12.0,3,3,80,1,18.0,2,2,18.0,7.0,12.0,17.0
516,4,Female              ,46,3,2,Sales Executive                         ,2,Divorced                                ,5715.0,22553.0,7,Y         ,No        ,12.0,3,3,80,2,8.0,5,3,5.0,4.0,1.0,3.0
517,2,Female              ,95,3,1,Laboratory Technician                   ,1,Divorced                                ,2576.0,20490.0,3,Y         ,No        ,16.0,3,2,80,1,8.0,5,3,5.0,2.0,1.0,2.0
518,3,Male                ,49,3,2,Manufacturing Director                  ,2,Single                                  ,4197.0,21123.0,2,Y         ,Yes       ,12.0,3,4,80,0,18.0,2,2,1.0,0.0,0.0,1.0
520,1,Male                ,59,2,4,Research Director                       ,2,Divorced                                ,14336.0,4345.0,1,Y         ,No        ,11.0,3,3,80,1,25.0,3,3,25.0,10.0,3.0,9.0
521,2,Female              ,78,2,2,Laboratory Technician                   ,3,Married                                 ,3448.0,13436.0,6,Y         ,No        ,22.0,4,2,80,1,20.0,3,3,1.0,0.0,0.0,0.0
522,1,Male                ,86,3,5,Research Director                       ,1,Married                                 ,19406.0,8509.0,4,Y         ,No        ,11.0,3,3,80,1,24.0,4,2,4.0,2.0,1.0,2.0
523,3,Female              ,72,3,2,Sales Executive                         ,3,Married                                 ,6538.0,12740.0,9,Y         ,No        ,15.0,3,1,80,1,6.0,3,3,3.0,2.0,1.0,2.0
524,2,Female              ,31,3,2,Manufacturing Director                  ,1,Married                                 ,4306.0,4156.0,1,Y         ,No        ,12.0,3,2,80,1,13.0,5,1,13.0,10.0,3.0,12.0
525,4,Male                ,61,3,1,Laboratory Technician                   ,4,Married                                 ,2258.0,15238.0,7,Y         ,No        ,20.0,4,1,80,1,8.0,1,3,3.0,2.0,1.0,2.0
526,3,Female              ,74,3,2,Healthcare Representative               ,3,Divorced                                ,4522.0,2227.0,4,Y         ,Yes       ,14.0,3,4,80,0,8.0,3,3,5.0,2.0,0.0,2.0
527,2,Female              ,99,2,2,Sales Executive                         ,4,Single                                  ,4487.0,12090.0,1,Y         ,Yes       ,11.0,3,2,80,0,5.0,3,3,5.0,4.0,1.0,3.0
529,2,Female              ,72,3,2,Research Scientist                      ,3,Married                                 ,4449.0,23866.0,3,Y         ,Yes       ,15.0,3,1,80,2,15.0,2,3,13.0,11.0,10.0,7.0
530,4,Male                ,98,2,1,Laboratory Technician                   ,1,Married                                 ,2218.0,16193.0,1,Y         ,No        ,12.0,3,3,80,1,4.0,3,3,4.0,2.0,3.0,2.0
531,2,Male                ,52,3,5,Manager                                 ,3,Divorced                                ,19197.0,8213.0,1,Y         ,Yes       ,14.0,3,3,80,1,21.0,3,3,21.0,8.0,1.0,6.0
532,3,Female              ,86,4,4,Sales Executive                         ,1,Married                                 ,13212.0,18256.0,9,Y         ,No        ,11.0,3,4,80,3,36.0,0,2,7.0,7.0,7.0,7.0
533,2,Female              ,83,3,2,Sales Executive                         ,3,Single                                  ,6577.0,19558.0,0,Y         ,No        ,11.0,3,2,80,0,6.0,6,3,5.0,4.0,4.0,4.0
534,2,Male                ,49,4,3,Sales Executive                         ,1,Married                                 ,8392.0,19566.0,1,Y         ,No        ,16.0,3,3,80,1,10.0,2,3,10.0,7.0,0.0,7.0
536,3,Male                ,79,3,2,Laboratory Technician                   ,1,Divorced                                ,4558.0,13535.0,1,Y         ,No        ,12.0,3,4,80,1,10.0,2,3,10.0,0.0,1.0,8.0
538,1,Male                ,91,3,1,Laboratory Technician                   ,1,Married                                 ,4031.0,9396.0,5,Y         ,No        ,13.0,3,3,80,1,6.0,5,3,2.0,2.0,0.0,2.0
543,4,Male                ,39,2,3,Manufacturing Director                  ,3,Married                                 ,7969.0,19609.0,2,Y         ,Yes       ,14.0,3,3,80,0,28.0,4,3,5.0,4.0,0.0,4.0
544,1,Male                ,69,3,1,Research Scientist                      ,4,Married                                 ,2654.0,9655.0,3,Y         ,No        ,21.0,4,4,80,2,8.0,3,2,2.0,2.0,0.0,2.0
546,4,Female              ,30,3,4,Manager                                 ,4,Married                                 ,16555.0,10310.0,2,Y         ,No        ,13.0,3,4,80,0,31.0,2,1,5.0,2.0,1.0,4.0
547,1,Female              ,92,3,2,Research Scientist                      ,3,Divorced                                ,4556.0,12932.0,2,Y         ,No        ,11.0,3,2,80,1,19.0,3,3,5.0,4.0,0.0,2.0
548,3,Female              ,43,1,2,Manufacturing Director                  ,4,Single                                  ,6091.0,24793.0,2,Y         ,No        ,20.0,4,3,80,0,11.0,2,3,5.0,4.0,0.0,2.0
549,1,Female              ,41,3,5,Manager                                 ,1,Married                                 ,19566.0,3854.0,5,Y         ,No        ,11.0,3,4,80,0,33.0,5,1,29.0,8.0,11.0,10.0
550,3,Female              ,87,3,2,Manufacturing Director                  ,3,Divorced                                ,4810.0,26314.0,2,Y         ,No        ,14.0,3,3,80,1,19.0,5,2,10.0,7.0,0.0,8.0
551,4,Female              ,88,2,2,Healthcare Representative               ,4,Married                                 ,4523.0,4386.0,0,Y         ,No        ,11.0,3,4,80,3,7.0,4,4,6.0,5.0,0.0,4.0
554,1,Female              ,62,3,1,Sales Representative                    ,2,Single                                  ,3202.0,21972.0,1,Y         ,Yes       ,16.0,3,2,80,0,6.0,4,3,5.0,3.0,1.0,4.0
555,4,Female              ,33,1,1,Sales Representative                    ,3,Divorced                                ,2351.0,12253.0,0,Y         ,No        ,16.0,3,4,80,1,3.0,3,2,2.0,2.0,1.0,0.0
556,4,Male                ,42,3,1,Laboratory Technician                   ,4,Married                                 ,1702.0,12106.0,1,Y         ,Yes       ,23.0,4,3,80,1,1.0,3,3,1.0,0.0,0.0,0.0
558,3,Female              ,79,3,5,Manager                                 ,3,Married                                 ,18041.0,13022.0,0,Y         ,No        ,14.0,3,4,80,0,21.0,2,3,20.0,15.0,1.0,12.0
560,1,Female              ,90,3,1,Research Scientist                      ,4,Divorced                                ,2886.0,3032.0,1,Y         ,No        ,22.0,4,2,80,2,3.0,3,1,3.0,2.0,0.0,2.0
562,3,Male                ,53,3,1,Laboratory Technician                   ,4,Married                                 ,2097.0,16734.0,4,Y         ,No        ,15.0,3,3,80,1,9.0,3,1,5.0,3.0,1.0,4.0
564,2,Male                ,93,2,3,Research Director                       ,3,Married                                 ,11935.0,21526.0,1,Y         ,No        ,18.0,3,3,80,0,10.0,2,3,10.0,2.0,0.0,7.0
565,3,Female              ,71,2,1,Research Scientist                      ,2,Married                                 ,2546.0,18300.0,5,Y         ,No        ,16.0,3,2,80,0,6.0,2,4,2.0,2.0,1.0,1.0
566,1,Male                ,52,2,1,Human Resources                         ,4,Single                                  ,2564.0,18437.0,1,Y         ,No        ,12.0,3,3,80,0,1.0,3,4,1.0,0.0,0.0,0.0
567,3,Female              ,69,3,3,Sales Executive                         ,1,Married                                 ,8412.0,2890.0,0,Y         ,No        ,11.0,3,3,80,0,10.0,3,3,9.0,8.0,7.0,8.0
568,1,Male                ,56,2,4,Manager                                 ,4,Divorced                                ,14118.0,22102.0,3,Y         ,No        ,12.0,3,3,80,1,32.0,3,2,1.0,0.0,0.0,0.0
569,2,Male                ,88,2,4,Manager                                 ,3,Married                                 ,17046.0,9314.0,0,Y         ,No        ,15.0,3,2,80,1,28.0,2,3,27.0,10.0,15.0,7.0
571,3,Female              ,49,3,1,Laboratory Technician                   ,4,Single                                  ,2564.0,7181.0,0,Y         ,No        ,14.0,3,3,80,0,12.0,2,2,11.0,7.0,6.0,7.0
573,3,Female              ,80,2,3,Sales Executive                         ,1,Married                                 ,10266.0,2845.0,4,Y         ,No        ,19.0,3,4,80,0,22.0,5,4,18.0,13.0,13.0,11.0
574,1,Female              ,65,3,2,Manufacturing Director                  ,4,Divorced                                ,5070.0,7389.0,5,Y         ,No        ,13.0,3,3,80,3,20.0,2,3,5.0,0.0,0.0,4.0
575,1,Male                ,51,3,4,Research Director                       ,3,Married                                 ,17861.0,2288.0,6,Y         ,No        ,13.0,3,3,80,0,26.0,2,1,3.0,2.0,0.0,1.0
577,4,Male                ,46,1,1,Laboratory Technician                   ,3,Single                                  ,4230.0,19225.0,0,Y         ,No        ,15.0,3,3,80,0,6.0,2,3,5.0,4.0,4.0,3.0
578,3,Female              ,42,3,2,Laboratory Technician                   ,3,Single                                  ,3780.0,23428.0,7,Y         ,No        ,11.0,3,3,80,0,19.0,3,3,1.0,0.0,0.0,0.0
579,4,Male                ,62,2,1,Research Scientist                      ,3,Divorced                                ,2768.0,8416.0,3,Y         ,No        ,12.0,3,3,80,1,14.0,3,3,7.0,3.0,5.0,7.0
580,3,Female              ,94,2,3,Sales Executive                         ,4,Married                                 ,9071.0,11563.0,2,Y         ,Yes       ,19.0,3,3,80,1,15.0,3,3,3.0,2.0,1.0,2.0
581,3,Male                ,33,3,3,Manufacturing Director                  ,2,Divorced                                ,10648.0,14394.0,1,Y         ,No        ,25.0,4,4,80,1,13.0,6,4,13.0,8.0,0.0,8.0
582,2,Male                ,56,3,3,Manager                                 ,3,Married                                 ,13610.0,24619.0,7,Y         ,Yes       ,12.0,3,4,80,0,15.0,2,4,7.0,6.0,7.0,7.0
584,1,Male                ,38,1,1,Laboratory Technician                   ,4,Divorced                                ,3408.0,6705.0,7,Y         ,No        ,13.0,3,1,80,3,8.0,2,3,4.0,3.0,1.0,3.0
585,4,Male                ,57,3,1,Sales Representative                    ,2,Single                                  ,2983.0,18398.0,0,Y         ,No        ,14.0,3,1,80,0,4.0,3,3,3.0,2.0,1.0,2.0
586,4,Male                ,72,3,3,Healthcare Representative               ,3,Married                                 ,7632.0,14295.0,4,Y         ,Yes       ,12.0,3,3,80,0,10.0,2,3,8.0,7.0,0.0,0.0
587,1,Male                ,66,3,3,Healthcare Representative               ,3,Married                                 ,9824.0,22908.0,3,Y         ,No        ,12.0,3,1,80,0,12.0,2,3,1.0,0.0,0.0,0.0
590,2,Female              ,43,3,3,Human Resources                         ,1,Divorced                                ,9950.0,11533.0,9,Y         ,Yes       ,15.0,3,3,80,3,11.0,2,3,3.0,2.0,0.0,2.0
591,2,Male                ,97,3,1,Laboratory Technician                   ,3,Married                                 ,2093.0,9260.0,4,Y         ,No        ,17.0,3,4,80,1,8.0,4,3,2.0,2.0,2.0,0.0
592,2,Male                ,32,3,3,Sales Executive                         ,4,Single                                  ,9980.0,15318.0,1,Y         ,No        ,14.0,3,4,80,0,10.0,3,2,10.0,3.0,9.0,7.0
593,3,Male                ,99,2,1,Laboratory Technician                   ,3,Single                                  ,3894.0,9129.0,5,Y         ,No        ,16.0,3,3,80,0,4.0,3,3,2.0,2.0,1.0,2.0
595,2,Female              ,37,3,2,Sales Executive                         ,4,Married                                 ,4051.0,19658.0,2,Y         ,No        ,14.0,3,1,80,1,14.0,2,3,9.0,7.0,6.0,7.0
597,1,Female              ,83,3,4,Manager                                 ,2,Single                                  ,16835.0,9873.0,3,Y         ,No        ,23.0,4,4,80,0,37.0,2,3,10.0,9.0,7.0,7.0
599,4,Male                ,56,3,2,Sales Executive                         ,4,Single                                  ,6230.0,13430.0,7,Y         ,No        ,14.0,3,4,80,0,16.0,3,3,14.0,3.0,1.0,10.0
600,2,Male                ,85,3,2,Sales Executive                         ,3,Married                                 ,4717.0,18659.0,9,Y         ,No        ,11.0,3,3,80,0,15.0,2,3,11.0,9.0,6.0,9.0
601,2,Female              ,75,3,4,Manufacturing Director                  ,3,Single                                  ,13237.0,20364.0,7,Y         ,No        ,15.0,3,3,80,0,22.0,3,3,20.0,6.0,5.0,13.0
602,3,Female              ,48,3,1,Laboratory Technician                   ,3,Married                                 ,3755.0,17872.0,1,Y         ,No        ,11.0,3,1,80,1,8.0,3,3,8.0,3.0,0.0,7.0
604,2,Male                ,77,3,2,Sales Executive                         ,4,Single                                  ,6582.0,8346.0,4,Y         ,Yes       ,13.0,3,3,80,0,10.0,2,4,6.0,5.0,0.0,5.0
605,4,Male                ,56,3,3,Manufacturing Director                  ,1,Married                                 ,7406.0,6950.0,1,Y         ,Yes       ,21.0,4,4,80,1,10.0,5,2,10.0,9.0,5.0,8.0
606,4,Male                ,61,3,2,Sales Executive                         ,2,Married                                 ,4805.0,16177.0,0,Y         ,No        ,19.0,3,2,80,1,9.0,3,4,8.0,7.0,3.0,7.0
608,2,Female              ,58,3,1,Human Resources                         ,3,Divorced                                ,2741.0,22808.0,0,Y         ,Yes       ,11.0,3,2,80,1,8.0,2,2,7.0,7.0,1.0,0.0
611,4,Male                ,34,3,2,Manufacturing Director                  ,4,Divorced                                ,4262.0,22645.0,4,Y         ,No        ,12.0,3,2,80,2,8.0,2,4,3.0,2.0,1.0,2.0
612,1,Female              ,95,4,4,Research Director                       ,3,Divorced                                ,16184.0,22578.0,4,Y         ,No        ,19.0,3,3,80,1,10.0,2,3,6.0,1.0,0.0,5.0
613,3,Male                ,44,2,3,Manager                                 ,4,Divorced                                ,11557.0,25291.0,9,Y         ,No        ,21.0,4,3,80,1,10.0,3,2,5.0,4.0,0.0,1.0
614,2,Male                ,69,3,1,Sales Representative                    ,2,Single                                  ,1878.0,8059.0,1,Y         ,Yes       ,14.0,3,4,80,0,0.0,3,3,0.0,0.0,0.0,0.0
615,3,Male                ,58,1,3,Sales Executive                         ,1,Divorced                                ,10932.0,11373.0,3,Y         ,No        ,15.0,3,3,80,1,20.0,2,3,1.0,0.0,0.0,1.0
616,1,Female              ,62,2,2,Healthcare Representative               ,3,Single                                  ,6811.0,2112.0,2,Y         ,Yes       ,17.0,3,1,80,0,10.0,3,3,8.0,7.0,0.0,7.0
618,1,Male                ,45,3,2,Sales Executive                         ,3,Divorced                                ,4306.0,4267.0,5,Y         ,No        ,12.0,3,1,80,2,8.0,5,3,0.0,0.0,0.0,0.0
620,1,Female              ,80,3,2,Sales Executive                         ,3,Single                                  ,4859.0,6698.0,1,Y         ,No        ,16.0,3,4,80,0,5.0,3,3,5.0,4.0,0.0,3.0
621,4,Male                ,74,4,2,Sales Executive                         ,4,Single                                  ,5337.0,19921.0,1,Y         ,No        ,12.0,3,4,80,0,10.0,3,3,10.0,7.0,5.0,7.0
622,3,Male                ,66,1,1,Laboratory Technician                   ,4,Single                                  ,2340.0,23213.0,1,Y         ,Yes       ,18.0,3,2,80,0,1.0,3,1,1.0,0.0,0.0,0.0
623,2,Female              ,59,3,3,Manufacturing Director                  ,4,Single                                  ,7491.0,23848.0,4,Y         ,No        ,17.0,3,4,80,0,12.0,3,4,6.0,5.0,1.0,2.0
624,1,Female              ,86,3,3,Healthcare Representative               ,3,Married                                 ,10527.0,8984.0,5,Y         ,No        ,11.0,3,4,80,0,28.0,3,2,2.0,2.0,1.0,2.0
625,2,Female              ,91,3,4,Manager                                 ,1,Married                                 ,16595.0,5626.0,7,Y         ,No        ,16.0,3,2,80,1,22.0,2,3,18.0,16.0,11.0,8.0
626,1,Male                ,69,3,3,Sales Executive                         ,2,Divorced                                ,8834.0,24666.0,1,Y         ,No        ,13.0,3,4,80,1,9.0,6,3,9.0,5.0,7.0,7.0
630,4,Male                ,78,3,2,Research Scientist                      ,1,Divorced                                ,5577.0,22087.0,3,Y         ,Yes       ,12.0,3,2,80,2,18.0,3,3,10.0,9.0,6.0,9.0
631,4,Male                ,60,4,2,Sales Executive                         ,3,Married                                 ,4707.0,23914.0,8,Y         ,No        ,12.0,3,4,80,0,6.0,2,3,4.0,2.0,1.0,2.0
632,4,Male                ,38,3,1,Sales Representative                    ,4,Married                                 ,2400.0,5530.0,0,Y         ,No        ,13.0,3,3,80,2,3.0,3,3,2.0,2.0,2.0,1.0
634,3,Female              ,76,3,2,Healthcare Representative               ,3,Married                                 ,9824.0,22174.0,3,Y         ,No        ,19.0,3,3,80,1,18.0,4,3,1.0,0.0,0.0,0.0
635,2,Female              ,65,3,2,Manufacturing Director                  ,2,Married                                 ,6447.0,15701.0,6,Y         ,No        ,12.0,3,2,80,1,8.0,2,2,6.0,5.0,4.0,3.0
638,4,Male                ,58,2,5,Research Director                       ,3,Divorced                                ,19502.0,2125.0,1,Y         ,Yes       ,17.0,3,3,80,1,31.0,5,3,31.0,9.0,0.0,9.0
639,2,Male                ,89,4,1,Research Scientist                      ,4,Married                                 ,2725.0,21630.0,1,Y         ,Yes       ,11.0,3,2,80,2,6.0,3,3,6.0,5.0,1.0,4.0
641,1,Male                ,66,3,2,Sales Executive                         ,2,Married                                 ,6272.0,7428.0,1,Y         ,No        ,20.0,4,4,80,2,6.0,5,4,5.0,3.0,1.0,4.0
643,4,Male                ,94,2,1,Laboratory Technician                   ,2,Married                                 ,2127.0,9100.0,1,Y         ,No        ,21.0,4,4,80,1,1.0,2,3,1.0,0.0,0.0,0.0
644,1,Male                ,99,3,5,Manager                                 ,2,Married                                 ,18200.0,7999.0,1,Y         ,No        ,11.0,3,3,80,1,32.0,2,3,32.0,5.0,10.0,7.0
645,2,Male                ,40,3,1,Sales Representative                    ,3,Married                                 ,2096.0,26376.0,1,Y         ,No        ,11.0,3,3,80,0,7.0,1,3,7.0,4.0,0.0,6.0
647,1,Female              ,55,3,1,Laboratory Technician                   ,3,Married                                 ,2886.0,14168.0,1,Y         ,Yes       ,16.0,3,4,80,1,6.0,4,3,6.0,3.0,1.0,2.0
648,2,Male                ,74,2,1,Sales Representative                    ,1,Married                                 ,2033.0,14470.0,1,Y         ,No        ,18.0,3,3,80,1,1.0,2,4,1.0,0.0,0.0,0.0
649,2,Male                ,83,2,1,Research Scientist                      ,4,Married                                 ,3622.0,22794.0,1,Y         ,Yes       ,13.0,3,4,80,1,6.0,3,3,6.0,5.0,1.0,3.0
650,2,Male                ,46,3,2,Sales Executive                         ,1,Divorced                                ,4233.0,11512.0,2,Y         ,No        ,17.0,3,3,80,0,9.0,2,1,3.0,1.0,1.0,2.0
652,1,Male                ,54,2,2,Laboratory Technician                   ,4,Single                                  ,3681.0,14004.0,4,Y         ,No        ,14.0,3,4,80,0,9.0,3,3,3.0,2.0,0.0,2.0
653,1,Male                ,66,4,2,Sales Executive                         ,4,Divorced                                ,5460.0,6219.0,4,Y         ,No        ,22.0,4,4,80,2,13.0,4,4,7.0,7.0,5.0,7.0
655,1,Female              ,66,2,1,Research Scientist                      ,3,Divorced                                ,2187.0,5013.0,0,Y         ,No        ,12.0,3,3,80,2,6.0,5,2,5.0,3.0,0.0,3.0
656,4,Male                ,75,3,2,Sales Executive                         ,3,Married                                 ,9602.0,3010.0,4,Y         ,Yes       ,11.0,3,3,80,1,17.0,3,2,3.0,0.0,1.0,0.0
657,4,Female              ,83,2,1,Research Scientist                      ,2,Single                                  ,2836.0,11757.0,1,Y         ,No        ,13.0,3,4,80,0,1.0,0,4,1.0,0.0,0.0,0.0
659,3,Female              ,81,3,2,Healthcare Representative               ,4,Married                                 ,4089.0,5718.0,1,Y         ,No        ,13.0,3,2,80,2,10.0,4,3,10.0,2.0,2.0,2.0
661,2,Male                ,50,2,4,Research Director                       ,4,Divorced                                ,16627.0,2671.0,4,Y         ,Yes       ,14.0,3,3,80,1,21.0,3,2,1.0,0.0,0.0,0.0
662,3,Female              ,43,3,1,Research Scientist                      ,1,Single                                  ,2619.0,14561.0,3,Y         ,No        ,17.0,3,4,80,0,8.0,3,2,0.0,0.0,0.0,0.0
663,4,Male                ,72,3,2,Laboratory Technician                   ,3,Divorced                                ,5679.0,19627.0,3,Y         ,Yes       ,13.0,3,2,80,1,10.0,3,3,8.0,7.0,4.0,7.0
664,4,Female              ,40,2,4,Manager                                 ,1,Married                                 ,15402.0,17997.0,7,Y         ,No        ,11.0,3,1,80,1,21.0,3,1,3.0,2.0,0.0,2.0
665,1,Female              ,50,2,2,Human Resources                         ,3,Single                                  ,5985.0,26894.0,4,Y         ,No        ,11.0,3,2,80,0,10.0,1,4,2.0,2.0,0.0,2.0
666,3,Female              ,31,3,1,Sales Representative                    ,3,Divorced                                ,2579.0,2912.0,1,Y         ,Yes       ,18.0,3,4,80,2,8.0,3,3,8.0,2.0,0.0,6.0
667,3,Male                ,85,3,1,Sales Representative                    ,1,Divorced                                ,3041.0,16346.0,0,Y         ,No        ,11.0,3,2,80,1,5.0,3,3,4.0,3.0,0.0,2.0
669,3,Male                ,49,3,1,Sales Representative                    ,3,Single                                  ,3447.0,24444.0,1,Y         ,No        ,11.0,3,3,80,0,3.0,2,3,3.0,2.0,1.0,2.0
671,4,Male                ,35,3,5,Manager                                 ,4,Married                                 ,19513.0,9358.0,4,Y         ,Yes       ,12.0,3,1,80,1,26.0,2,4,2.0,2.0,0.0,1.0
675,1,Male                ,69,3,1,Research Scientist                      ,3,Married                                 ,2773.0,12145.0,0,Y         ,No        ,20.0,4,4,80,0,3.0,3,3,2.0,2.0,2.0,2.0
677,3,Male                ,39,3,2,Sales Executive                         ,3,Divorced                                ,7104.0,20431.0,0,Y         ,No        ,12.0,3,4,80,0,6.0,3,3,5.0,0.0,1.0,2.0
679,1,Female              ,92,3,2,Research Scientist                      ,4,Married                                 ,6322.0,18089.0,1,Y         ,Yes       ,12.0,3,4,80,1,6.0,2,2,6.0,4.0,0.0,5.0
680,3,Female              ,71,3,1,Research Scientist                      ,3,Divorced                                ,2083.0,22653.0,1,Y         ,No        ,20.0,4,3,80,1,1.0,2,3,1.0,0.0,0.0,0.0
682,4,Female              ,34,3,2,Sales Executive                         ,1,Single                                  ,8381.0,7507.0,7,Y         ,No        ,20.0,4,4,80,0,18.0,2,4,14.0,7.0,8.0,10.0
683,2,Male                ,42,3,1,Research Scientist                      ,4,Married                                 ,2691.0,7660.0,1,Y         ,No        ,12.0,3,4,80,1,10.0,4,2,10.0,9.0,8.0,8.0
