Age,Attrition,Business_Travel,DailyRate,Department,Distance_From_Home,Education_in_years,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_comp_worked,Work_Overtime,Salary_Hike_Percentage,Performance_Rating,Relationship_Satisfaction,Stack_Option_Level,Total_working_years,Train_time_last_year,work_life_balance,Years_company,Years_current_role,Years_Promotion,Years_curr_mangaer
36,0,1,1480,1,3,2,3,4,1,30,3,2,2,2,2088.0,15062.0,4,0,12.0,3,3,0,13.0,3,2,8.0,7.0,7.0,2.0
30,0,0,111,1,9,3,3,3,1,66,3,2,1,0,3072.0,11012.0,1,0,11.0,3,3,2,12.0,4,3,12.0,9.0,6.0,10.0
45,0,2,1268,2,4,2,1,3,0,30,3,7,1,0,5006.0,6319.0,4,1,11.0,3,1,1,9.0,3,4,5.0,4.0,0.0,3.0
56,0,2,713,1,8,3,1,3,0,67,3,6,1,0,4257.0,13939.0,4,1,18.0,3,3,1,19.0,3,3,2.0,2.0,2.0,2.0
33,0,2,134,1,2,3,1,3,1,90,3,6,4,2,2500.0,10515.0,0,0,14.0,3,1,0,4.0,2,4,3.0,1.0,0.0,2.0
19,1,2,303,1,2,3,1,2,1,47,2,2,4,2,1102.0,9241.0,1,0,22.0,4,3,0,1.0,3,2,1.0,0.0,1.0,0.0
46,0,2,526,2,1,2,2,2,0,92,3,7,1,0,10453.0,2137.0,1,0,25.0,4,3,3,24.0,2,3,24.0,13.0,15.0,7.0
38,0,2,1380,1,9,2,1,3,0,75,3,2,4,2,2288.0,6319.0,1,0,12.0,3,3,0,2.0,3,3,2.0,2.0,2.0,1.0
31,0,2,140,1,12,1,3,3,0,95,3,6,4,1,3929.0,6984.0,8,1,23.0,4,3,1,7.0,0,3,4.0,2.0,0.0,2.0
34,0,2,629,1,27,2,3,4,0,95,3,6,2,2,2311.0,5711.0,2,0,15.0,3,4,0,9.0,3,3,3.0,2.0,1.0,2.0
41,1,2,1356,2,20,2,2,2,0,70,3,8,2,2,3140.0,21728.0,1,1,22.0,4,4,0,4.0,5,2,4.0,3.0,0.0,2.0
50,0,2,328,1,1,3,3,3,1,86,2,2,3,1,3690.0,3425.0,2,0,15.0,3,4,1,5.0,2,2,3.0,2.0,0.0,2.0
53,0,2,1084,1,13,2,3,4,0,57,4,4,1,0,4450.0,26250.0,1,0,11.0,3,3,2,5.0,3,3,4.0,2.0,1.0,3.0
33,0,2,931,1,14,3,3,4,0,72,3,6,2,1,2756.0,4673.0,1,0,13.0,3,4,1,8.0,5,3,8.0,7.0,1.0,6.0
40,0,2,989,1,4,1,3,4,0,46,3,3,3,1,19033.0,6499.0,1,0,14.0,3,2,1,21.0,2,3,20.0,8.0,9.0,9.0
55,0,2,692,1,14,4,3,3,1,61,4,5,2,2,18722.0,13339.0,8,0,11.0,3,4,0,36.0,3,3,24.0,15.0,2.0,15.0
34,0,1,1069,1,2,1,1,4,1,45,2,4,3,1,9547.0,14074.0,1,0,17.0,3,3,0,10.0,2,2,10.0,9.0,1.0,9.0
51,0,2,313,1,3,3,3,4,0,98,3,0,2,2,13734.0,7192.0,3,0,18.0,3,3,0,21.0,6,3,7.0,7.0,1.0,0.0
52,0,2,699,1,1,4,1,3,1,65,2,3,3,1,19999.0,5678.0,0,0,14.0,3,1,1,34.0,5,3,33.0,18.0,11.0,9.0
27,0,2,894,1,9,3,3,4,0,99,3,6,2,2,2279.0,11781.0,1,0,16.0,3,4,0,7.0,2,2,7.0,7.0,0.0,3.0
35,1,2,556,1,23,2,1,2,1,50,2,4,3,1,5916.0,15497.0,3,1,13.0,3,1,0,8.0,1,3,1.0,0.0,0.0,1.0
43,0,0,1344,1,7,3,3,4,1,37,4,6,4,0,2089.0,5228.0,4,0,14.0,3,4,3,7.0,3,4,5.0,4.0,2.0,2.0
45,0,0,1195,1,2,2,3,1,1,65,2,3,4,1,16792.0,20462.0,9,0,23.0,4,4,1,22.0,1,3,20.0,8.0,11.0,8.0
37,0,2,290,1,21,3,1,2,1,65,4,6,1,1,3564.0,22977.0,1,1,12.0,3,1,1,8.0,3,2,8.0,7.0,1.0,7.0
35,0,1,138,1,2,3,3,2,0,37,3,2,2,2,4425.0,15986.0,5,0,11.0,3,4,0,10.0,5,3,6.0,2.0,1.0,2.0
42,0,0,926,1,21,2,3,3,0,36,3,4,3,0,5265.0,16439.0,2,0,16.0,3,2,1,11.0,5,3,5.0,3.0,0.0,2.0
38,0,2,1261,1,2,4,1,4,1,88,3,4,3,1,6553.0,7259.0,9,0,14.0,3,2,0,14.0,3,3,1.0,0.0,0.0,0.0
38,0,2,1084,1,29,3,5,4,1,54,3,4,4,1,6261.0,4185.0,3,0,18.0,3,1,1,9.0,3,1,7.0,7.0,1.0,7.0
27,0,1,472,1,1,1,5,3,1,60,2,4,1,1,4298.0,9679.0,5,0,19.0,3,3,1,6.0,1,3,2.0,2.0,2.0,0.0
49,0,0,1002,1,18,4,1,4,1,92,3,4,4,0,6804.0,23793.0,1,1,15.0,3,1,2,7.0,0,3,7.0,7.0,1.0,7.0
34,0,1,878,1,10,4,3,4,1,43,3,6,3,0,3815.0,5972.0,1,1,17.0,3,4,1,5.0,4,4,5.0,3.0,2.0,0.0
40,0,2,905,1,19,2,3,3,1,99,3,2,4,1,2741.0,16523.0,8,1,15.0,3,3,1,15.0,2,4,7.0,2.0,3.0,7.0
38,1,2,1180,1,29,1,3,2,1,70,3,0,1,1,6673.0,11354.0,7,1,19.0,3,2,0,17.0,2,3,1.0,0.0,0.0,0.0
29,1,2,121,2,27,3,2,2,0,35,3,7,4,1,7639.0,24525.0,1,0,22.0,4,4,3,10.0,3,2,10.0,4.0,1.0,9.0
22,0,2,1136,1,5,3,1,4,1,60,4,6,2,0,2328.0,12392.0,1,1,16.0,3,1,1,4.0,2,2,4.0,2.0,2.0,2.0
36,0,1,635,1,18,1,3,2,0,73,3,2,4,2,2153.0,7703.0,1,0,13.0,3,1,0,8.0,2,3,8.0,1.0,1.0,7.0
40,0,0,1151,1,9,5,1,4,1,63,2,0,4,1,4876.0,14242.0,9,0,14.0,3,4,1,5.0,5,1,3.0,2.0,0.0,2.0
46,0,2,644,1,1,4,3,4,1,97,3,0,1,0,9396.0,12368.0,7,0,16.0,3,3,1,17.0,3,3,4.0,2.0,0.0,3.0
32,1,2,1045,2,4,4,3,4,1,32,1,7,4,1,10400.0,25812.0,1,0,11.0,3,3,0,14.0,2,2,14.0,8.0,9.0,8.0
30,0,0,829,1,1,1,1,3,1,88,2,4,3,2,8474.0,20925.0,1,0,22.0,4,3,0,12.0,2,3,11.0,8.0,5.0,8.0
27,0,1,1242,2,20,3,1,4,0,90,3,7,3,2,9981.0,12916.0,1,0,14.0,3,4,0,7.0,2,3,7.0,7.0,0.0,7.0
51,0,2,1469,1,8,4,1,2,1,81,2,5,2,1,12490.0,15736.0,5,0,16.0,3,4,2,16.0,5,1,10.0,9.0,4.0,7.0
30,1,2,1005,1,3,3,5,4,0,88,3,6,1,2,2657.0,8556.0,5,1,11.0,3,3,0,8.0,5,3,5.0,2.0,0.0,4.0
41,0,2,896,2,6,3,1,4,0,75,3,3,4,2,13591.0,14674.0,3,1,18.0,3,3,0,16.0,3,3,1.0,0.0,0.0,0.0
30,1,1,334,2,26,4,2,3,0,52,2,7,1,2,6696.0,22967.0,5,0,15.0,3,3,0,9.0,5,2,6.0,3.0,0.0,1.0
29,1,2,992,1,1,3,5,3,1,85,3,6,3,2,2058.0,19757.0,0,0,14.0,3,4,0,7.0,1,2,6.0,2.0,1.0,5.0
45,0,0,1052,2,6,3,3,4,0,57,2,7,4,2,8865.0,16840.0,6,0,12.0,3,4,0,23.0,2,3,19.0,7.0,12.0,8.0
54,0,2,1147,2,3,3,2,4,0,52,3,7,1,1,5940.0,17011.0,2,0,14.0,3,4,1,16.0,4,3,6.0,2.0,0.0,5.0
36,0,2,1396,1,5,2,1,4,1,62,3,2,2,2,5914.0,9945.0,8,0,16.0,3,4,0,16.0,3,4,13.0,11.0,3.0,7.0
33,0,2,147,1,4,4,3,3,0,47,2,6,2,1,2622.0,13248.0,6,0,21.0,4,4,0,7.0,3,3,3.0,2.0,1.0,1.0
37,0,1,663,1,11,3,4,2,1,47,3,5,4,0,12185.0,10056.0,1,1,14.0,3,3,3,10.0,1,3,10.0,8.0,0.0,7.0
38,0,2,119,2,3,3,1,1,1,76,3,7,3,0,10609.0,9647.0,0,0,12.0,3,3,2,17.0,6,2,16.0,10.0,5.0,13.0
31,0,0,979,1,1,4,3,3,1,90,1,4,3,1,4345.0,4381.0,0,0,12.0,3,4,1,6.0,2,3,5.0,4.0,1.0,4.0
59,0,2,142,1,3,3,1,3,1,70,2,6,4,1,2177.0,8456.0,3,0,17.0,3,1,1,7.0,6,3,1.0,0.0,0.0,0.0
37,0,1,319,2,4,4,2,1,1,41,3,8,4,0,2793.0,2539.0,4,0,17.0,3,3,1,13.0,2,3,9.0,8.0,5.0,8.0
29,0,1,1413,2,1,1,3,2,0,42,3,7,4,1,7918.0,6599.0,1,0,14.0,3,4,1,11.0,5,3,11.0,10.0,4.0,1.0
35,0,1,944,2,1,3,2,3,0,92,3,7,3,2,8789.0,9096.0,1,0,14.0,3,1,0,10.0,3,4,10.0,7.0,0.0,8.0
29,1,2,896,1,18,1,3,3,1,86,2,6,4,2,2389.0,14961.0,1,1,13.0,3,3,0,4.0,3,2,4.0,3.0,0.0,1.0
52,0,2,1323,1,2,3,1,3,0,89,2,2,4,2,3212.0,3300.0,7,0,15.0,3,2,0,6.0,3,2,2.0,2.0,2.0,2.0
42,0,2,532,1,4,2,5,3,1,58,3,3,4,1,19232.0,4933.0,1,0,11.0,3,4,0,22.0,3,3,22.0,17.0,11.0,15.0
59,0,2,818,0,6,2,3,2,1,52,3,1,3,1,2267.0,25657.0,8,0,17.0,3,4,0,7.0,2,2,2.0,2.0,2.0,2.0
50,0,2,854,2,1,4,3,4,0,68,3,3,4,0,19517.0,24118.0,3,0,11.0,3,3,1,32.0,3,2,7.0,0.0,0.0,6.0
33,1,2,813,1,14,3,3,3,1,58,3,2,4,1,2436.0,22149.0,5,1,13.0,3,3,1,8.0,2,1,5.0,4.0,0.0,4.0
43,0,2,1034,2,16,3,2,4,0,80,3,3,4,1,16064.0,7744.0,5,1,22.0,4,3,1,22.0,3,3,17.0,13.0,1.0,9.0
33,1,2,465,1,2,2,1,1,0,39,3,2,1,1,2707.0,21509.0,7,0,20.0,4,1,0,13.0,3,4,9.0,7.0,1.0,7.0
52,0,0,771,2,2,4,1,1,1,79,2,3,3,2,19068.0,21030.0,1,1,18.0,3,4,0,33.0,2,4,33.0,7.0,15.0,12.0
32,0,2,1401,2,4,2,1,3,0,56,3,8,2,1,3931.0,20990.0,2,0,11.0,3,1,1,6.0,5,3,4.0,3.0,1.0,2.0
32,1,2,515,1,1,3,1,4,1,62,2,2,3,2,3730.0,9571.0,0,1,14.0,3,4,0,4.0,2,1,3.0,2.0,1.0,2.0
39,0,2,1431,1,1,4,3,3,0,96,3,2,3,0,2232.0,15417.0,7,0,14.0,3,3,3,7.0,1,3,3.0,2.0,1.0,2.0
32,0,0,976,2,26,4,2,3,1,100,3,7,4,1,4465.0,12069.0,0,0,18.0,3,1,0,4.0,2,3,3.0,2.0,2.0,2.0
41,0,2,1411,1,19,2,1,3,1,36,3,6,1,0,3072.0,19877.0,2,0,16.0,3,1,2,17.0,2,2,1.0,0.0,0.0,0.0
40,0,2,1300,1,24,2,5,1,1,62,3,6,4,0,3319.0,24447.0,1,0,17.0,3,1,2,9.0,3,3,9.0,8.0,4.0,7.0
45,0,2,252,1,1,3,4,3,1,70,4,3,4,1,19202.0,15970.0,0,0,11.0,3,3,1,25.0,2,3,24.0,0.0,1.0,7.0
31,0,1,1327,1,3,4,3,2,1,73,3,5,3,0,13675.0,13523.0,9,0,12.0,3,1,1,9.0,3,3,2.0,2.0,2.0,2.0
33,0,2,832,1,5,4,1,3,0,63,2,6,4,1,2911.0,14776.0,1,0,13.0,3,3,1,2.0,2,2,2.0,2.0,0.0,2.0
34,0,2,470,1,2,4,1,4,1,84,2,4,1,1,5957.0,23687.0,6,0,13.0,3,2,1,13.0,3,3,11.0,9.0,5.0,9.0
37,0,2,1017,1,1,2,3,3,0,83,2,6,1,1,3920.0,18697.0,2,0,14.0,3,1,1,17.0,2,2,3.0,1.0,0.0,2.0
45,0,1,1199,1,7,4,1,1,1,77,4,4,3,1,6434.0,5118.0,4,0,17.0,3,4,1,9.0,1,3,3.0,2.0,0.0,2.0
37,1,1,504,1,10,3,3,1,1,61,3,4,3,0,10048.0,22573.0,6,0,11.0,3,2,2,17.0,5,3,1.0,0.0,0.0,0.0
39,0,1,505,1,2,4,5,3,0,64,3,0,3,2,10938.0,6420.0,0,0,25.0,4,4,0,20.0,1,3,19.0,6.0,11.0,8.0
29,0,2,665,1,15,3,1,3,1,60,3,6,4,2,2340.0,22673.0,1,0,19.0,3,1,0,6.0,1,3,6.0,5.0,1.0,5.0
42,0,2,916,1,17,2,1,4,0,82,4,6,1,2,6545.0,23016.0,3,1,13.0,3,3,0,10.0,1,3,3.0,2.0,0.0,2.0
29,0,2,1247,2,20,2,2,4,1,45,3,7,4,0,6931.0,10732.0,2,0,14.0,3,4,1,10.0,2,3,3.0,2.0,0.0,2.0
25,0,2,685,1,1,3,1,1,0,62,3,4,3,1,4898.0,7505.0,0,0,12.0,3,4,2,5.0,3,3,4.0,2.0,1.0,2.0
42,0,2,269,1,2,3,3,4,0,56,2,2,1,0,2593.0,8007.0,0,1,11.0,3,3,1,10.0,4,3,9.0,6.0,7.0,8.0
40,0,2,1416,1,2,2,3,1,1,49,3,5,3,0,19436.0,5949.0,0,0,19.0,3,4,1,22.0,5,3,21.0,7.0,3.0,9.0
51,0,2,833,1,1,3,1,3,1,96,3,6,4,1,2723.0,23231.0,1,0,11.0,3,2,0,1.0,0,2,1.0,0.0,0.0,0.0
31,1,1,307,1,29,2,3,3,1,71,2,2,2,2,3479.0,11652.0,0,0,11.0,3,2,0,6.0,2,4,5.0,4.0,1.0,4.0
32,0,1,1311,1,7,3,1,2,1,100,4,2,2,1,2794.0,26062.0,1,0,20.0,4,3,0,5.0,3,1,5.0,1.0,0.0,3.0
38,0,0,1327,2,2,2,1,4,1,39,2,7,4,1,5249.0,19682.0,3,0,18.0,3,4,1,13.0,0,3,8.0,7.0,7.0,5.0
32,0,2,128,1,2,1,5,4,1,84,2,2,1,2,2176.0,19737.0,4,0,13.0,3,4,0,9.0,5,3,6.0,2.0,0.0,4.0
46,0,2,488,2,2,3,5,3,0,75,1,3,2,1,16872.0,14977.0,3,1,12.0,3,2,1,28.0,2,2,7.0,7.0,7.0,7.0
28,1,2,529,1,2,4,1,1,1,79,3,2,3,2,3485.0,14935.0,2,0,11.0,3,3,0,5.0,5,1,0.0,0.0,0.0,0.0
29,0,2,1210,2,2,3,3,1,1,78,2,7,2,1,6644.0,3687.0,2,0,19.0,3,2,2,10.0,2,3,0.0,0.0,0.0,0.0
31,0,2,1463,1,23,3,3,2,1,64,2,0,4,1,5582.0,14408.0,0,0,21.0,4,2,1,10.0,2,3,9.0,0.0,7.0,8.0
25,0,0,675,1,5,2,1,2,1,85,4,0,1,0,4000.0,18384.0,1,0,12.0,3,4,2,6.0,2,3,6.0,3.0,1.0,5.0
45,0,2,1385,1,20,2,3,3,1,79,3,0,4,1,13496.0,7501.0,0,1,14.0,3,2,0,21.0,2,3,20.0,7.0,4.0,10.0
36,0,2,1403,1,6,3,1,4,1,47,3,2,4,1,3210.0,20251.0,0,0,11.0,3,3,1,16.0,4,3,15.0,13.0,10.0,11.0
55,0,2,452,1,1,3,3,4,1,81,3,3,1,2,19045.0,18938.0,0,1,14.0,3,3,0,37.0,2,3,36.0,10.0,4.0,13.0
47,1,0,666,1,29,4,1,1,1,88,3,3,2,1,11849.0,10268.0,1,1,12.0,3,4,1,10.0,2,2,10.0,7.0,9.0,9.0
28,0,2,1158,1,9,3,3,4,1,94,3,6,4,1,2070.0,2613.0,1,0,23.0,4,4,1,5.0,3,2,5.0,2.0,0.0,4.0
37,0,2,228,2,6,4,3,3,1,98,3,7,4,1,6502.0,22825.0,4,0,14.0,3,2,1,7.0,5,4,5.0,4.0,0.0,1.0
21,0,2,996,1,3,2,3,4,1,100,2,6,3,2,3230.0,10531.0,1,0,17.0,3,1,0,3.0,4,4,3.0,2.0,1.0,0.0
37,0,0,728,1,1,4,3,1,0,80,3,5,4,0,13603.0,11677.0,2,1,18.0,3,1,2,15.0,2,3,5.0,2.0,0.0,2.0
35,0,2,1315,1,22,3,1,2,0,71,4,3,2,0,11996.0,19100.0,7,0,18.0,3,2,1,10.0,6,2,7.0,7.0,6.0,2.0
38,0,2,322,2,7,2,3,1,0,44,4,7,1,0,5605.0,19191.0,1,1,24.0,4,3,1,8.0,3,3,8.0,0.0,7.0,7.0
26,0,1,1479,1,1,3,1,3,0,84,3,4,2,0,6397.0,26767.0,1,0,20.0,4,1,1,6.0,6,1,6.0,5.0,1.0,4.0
50,0,2,797,1,4,1,1,1,1,96,3,5,2,0,19144.0,15815.0,3,0,14.0,3,1,2,28.0,4,2,10.0,4.0,1.0,6.0
53,0,2,1070,1,3,4,3,3,1,45,3,5,3,1,17584.0,21016.0,3,1,16.0,3,4,3,21.0,5,2,5.0,3.0,1.0,3.0
42,0,2,635,2,1,1,1,2,1,99,3,7,3,1,4907.0,24532.0,1,0,25.0,4,3,0,20.0,3,3,20.0,16.0,11.0,6.0
29,0,1,442,2,2,2,1,2,1,44,3,7,4,2,4554.0,20260.0,1,0,18.0,3,1,0,10.0,3,2,10.0,7.0,0.0,9.0
55,0,2,147,1,20,2,5,2,1,37,3,2,4,1,5415.0,15972.0,3,1,19.0,3,4,1,12.0,4,3,10.0,7.0,0.0,8.0
26,0,1,496,1,11,2,3,1,1,60,3,0,1,1,4741.0,22722.0,1,1,13.0,3,3,1,5.0,3,3,5.0,3.0,3.0,3.0
37,0,2,1372,1,1,3,1,4,0,42,3,6,4,2,2115.0,15881.0,1,0,12.0,3,2,0,17.0,3,3,17.0,12.0,5.0,7.0
44,1,1,920,1,24,3,1,4,1,43,3,2,3,0,3161.0,19920.0,3,1,22.0,4,4,1,19.0,0,1,1.0,0.0,0.0,0.0
38,0,2,688,1,23,4,1,4,1,82,3,0,4,0,5745.0,18899.0,9,0,14.0,3,2,1,10.0,2,3,2.0,2.0,1.0,2.0
26,1,2,1449,1,16,4,3,1,1,45,3,2,2,0,2373.0,14180.0,2,1,13.0,3,4,1,5.0,2,3,3.0,2.0,0.0,2.0
28,0,2,1117,1,8,2,1,4,0,66,3,6,4,2,3310.0,4488.0,1,0,21.0,4,4,0,5.0,3,3,5.0,3.0,0.0,2.0
49,0,1,636,1,10,4,1,3,0,35,3,5,1,2,18665.0,25594.0,9,1,11.0,3,4,0,22.0,4,3,3.0,2.0,1.0,2.0
36,0,2,506,1,3,3,5,3,1,30,3,6,2,2,4485.0,26285.0,4,0,12.0,3,4,0,10.0,2,3,8.0,0.0,7.0,7.0
31,0,1,444,2,5,3,2,4,0,84,3,8,2,0,2789.0,3909.0,1,0,11.0,3,3,1,2.0,5,2,2.0,2.0,2.0,2.0
26,1,2,950,2,4,4,2,4,1,48,2,7,4,2,5828.0,8450.0,1,1,12.0,3,2,0,8.0,0,3,8.0,7.0,7.0,4.0
37,0,1,889,1,9,3,3,2,1,53,3,6,4,1,2326.0,11411.0,1,1,12.0,3,3,3,4.0,3,2,4.0,2.0,1.0,2.0
42,0,1,555,2,26,3,2,3,0,77,3,7,2,1,13525.0,14864.0,5,0,14.0,3,4,1,23.0,2,4,20.0,4.0,4.0,8.0
18,1,2,230,1,3,3,1,3,1,54,3,2,3,2,1420.0,25233.0,1,0,13.0,3,3,0,0.0,2,3,0.0,0.0,0.0,0.0
35,0,2,1232,2,16,3,2,3,1,96,3,7,2,1,8020.0,5100.0,0,0,15.0,3,3,2,12.0,3,2,11.0,9.0,6.0,9.0
36,0,1,566,1,18,4,1,3,1,81,4,2,4,1,3688.0,7122.0,4,0,18.0,3,4,2,4.0,2,3,1.0,0.0,0.0,0.0
51,0,2,1302,1,2,3,3,4,1,84,1,4,2,0,5482.0,16321.0,5,0,18.0,3,4,1,13.0,3,3,4.0,1.0,1.0,2.0
41,0,2,334,2,2,4,1,4,1,88,3,3,2,2,16015.0,15896.0,1,0,19.0,3,2,0,22.0,2,3,22.0,10.0,0.0,4.0
18,0,2,812,2,10,3,3,4,0,69,2,8,3,2,1200.0,9724.0,1,0,12.0,3,1,0,0.0,2,3,0.0,0.0,0.0,0.0
28,0,2,1476,1,16,2,3,2,1,68,4,0,1,2,5661.0,4824.0,0,0,19.0,3,3,0,9.0,2,3,8.0,3.0,0.0,7.0
31,0,2,218,2,7,3,5,2,1,100,4,7,4,1,6929.0,12241.0,4,0,11.0,3,2,1,10.0,3,2,8.0,7.0,7.0,7.0
39,0,2,1132,1,1,3,3,3,1,48,4,0,4,0,9613.0,10942.0,0,0,17.0,3,1,3,19.0,5,2,18.0,10.0,3.0,7.0
36,0,0,1105,1,24,4,1,2,0,47,3,2,2,1,5674.0,6927.0,7,0,15.0,3,3,1,11.0,3,3,9.0,8.0,0.0,8.0
32,0,2,906,2,7,3,1,4,1,91,2,7,3,1,5484.0,16985.0,1,0,14.0,3,3,1,13.0,3,2,13.0,8.0,4.0,8.0
38,0,2,849,1,25,2,1,1,0,81,2,5,2,1,12061.0,26707.0,3,0,17.0,3,3,1,19.0,2,3,10.0,8.0,0.0,1.0
58,0,0,390,1,1,4,1,4,1,32,1,0,3,0,5660.0,17056.0,2,1,13.0,3,4,1,12.0,2,3,5.0,3.0,1.0,2.0
31,0,2,691,1,5,4,5,3,1,86,3,6,4,1,4821.0,10077.0,0,1,12.0,3,3,1,6.0,4,3,5.0,2.0,0.0,3.0
31,0,2,106,0,2,3,0,1,1,62,2,1,1,1,6410.0,17822.0,3,0,12.0,3,4,0,9.0,1,3,2.0,2.0,1.0,0.0
45,0,1,1249,1,7,3,1,1,1,97,3,2,1,0,5210.0,20308.0,1,0,18.0,3,1,1,24.0,2,3,24.0,9.0,9.0,11.0
31,0,2,192,1,2,4,1,3,1,32,3,6,4,0,2695.0,7747.0,0,1,18.0,3,2,1,3.0,2,1,2.0,2.0,2.0,2.0
33,0,1,553,1,5,4,1,4,0,74,3,3,2,1,11878.0,23364.0,6,0,11.0,3,2,2,12.0,2,3,10.0,6.0,8.0,8.0
39,0,2,117,1,10,1,3,3,1,99,3,3,1,1,17068.0,5355.0,1,1,14.0,3,4,0,21.0,3,3,21.0,9.0,11.0,10.0
43,0,1,185,1,10,4,1,3,0,33,3,2,4,2,2455.0,10675.0,0,0,19.0,3,1,0,9.0,5,3,8.0,7.0,1.0,7.0
49,0,2,1091,1,1,2,5,3,0,90,2,0,3,2,13964.0,17810.0,7,1,12.0,3,4,0,25.0,2,3,7.0,1.0,0.0,7.0
52,1,2,723,1,8,4,3,3,1,85,2,6,2,1,4941.0,17747.0,2,0,15.0,3,1,0,11.0,3,2,8.0,2.0,7.0,7.0
27,0,2,1220,1,5,3,1,3,0,85,3,6,2,2,2478.0,20938.0,1,1,12.0,3,2,0,4.0,2,2,4.0,3.0,1.0,2.0
32,0,2,588,2,8,2,5,3,0,65,2,7,2,1,5228.0,24624.0,1,1,11.0,3,4,0,13.0,2,3,13.0,12.0,11.0,9.0
27,0,2,1377,2,2,3,1,4,1,74,3,7,3,2,4478.0,5242.0,1,1,11.0,3,1,0,5.0,3,3,5.0,4.0,0.0,4.0
31,0,2,691,2,7,3,2,4,1,73,3,7,4,0,7547.0,7143.0,4,0,12.0,3,4,3,13.0,3,3,7.0,7.0,1.0,7.0
32,0,2,1018,1,2,4,3,1,0,74,4,6,4,2,5055.0,10557.0,7,0,16.0,3,3,0,10.0,0,2,7.0,7.0,0.0,7.0
28,1,2,1157,1,2,4,3,1,1,84,1,6,4,1,3464.0,24737.0,5,1,13.0,3,4,0,5.0,4,2,3.0,2.0,2.0,2.0
30,0,2,1275,1,28,2,3,4,0,64,3,6,4,1,5775.0,11934.0,1,0,13.0,3,4,2,11.0,2,3,10.0,8.0,1.0,9.0
31,0,1,798,1,7,2,1,3,0,48,2,4,3,1,8943.0,14034.0,1,0,24.0,4,1,1,10.0,2,3,10.0,9.0,8.0,9.0
39,0,1,672,1,7,2,3,3,1,54,2,3,4,1,19272.0,21141.0,1,0,15.0,3,1,1,21.0,2,3,21.0,9.0,13.0,3.0
39,1,2,1162,2,3,2,3,4,0,41,3,7,3,1,5238.0,17778.0,4,1,18.0,3,1,0,12.0,3,2,1.0,0.0,0.0,0.0
33,0,1,508,2,10,3,2,2,1,46,2,7,4,2,4682.0,4317.0,3,0,14.0,3,3,0,9.0,6,2,7.0,7.0,0.0,1.0
47,0,2,1482,1,5,5,1,4,1,42,3,5,3,1,18300.0,16375.0,4,0,11.0,3,2,1,21.0,2,3,3.0,2.0,1.0,1.0
43,0,1,559,1,10,4,1,3,0,82,2,2,3,0,5257.0,6227.0,1,0,11.0,3,2,1,9.0,3,4,9.0,7.0,0.0,0.0
27,0,0,210,2,1,1,2,3,1,73,3,7,2,1,6349.0,22107.0,0,1,13.0,3,4,1,6.0,0,3,5.0,4.0,1.0,4.0
54,0,1,928,1,20,4,1,4,0,31,3,6,3,2,4869.0,16885.0,3,0,12.0,3,4,0,20.0,4,2,4.0,3.0,0.0,3.0
43,0,2,1001,1,7,3,1,3,0,43,3,0,1,1,9985.0,9262.0,8,0,16.0,3,1,1,10.0,1,2,1.0,0.0,0.0,0.0
45,0,2,549,1,8,4,4,4,1,75,3,6,4,1,3697.0,9278.0,9,0,14.0,3,1,2,12.0,3,3,10.0,9.0,9.0,8.0
40,0,2,1124,2,1,2,3,2,1,57,1,7,4,1,7457.0,13273.0,2,1,22.0,4,3,3,6.0,2,2,4.0,3.0,0.0,2.0
29,1,2,318,1,8,4,4,2,1,77,1,2,1,1,2119.0,4759.0,1,1,11.0,3,4,0,7.0,4,2,7.0,7.0,0.0,7.0
29,0,2,738,1,9,5,4,2,1,30,2,2,4,2,3983.0,7621.0,0,0,17.0,3,3,0,4.0,2,3,3.0,2.0,2.0,2.0
30,0,2,570,2,5,3,2,4,0,30,2,7,3,0,6118.0,5431.0,1,0,13.0,3,3,3,10.0,2,3,10.0,9.0,1.0,2.0
27,0,2,1130,2,8,4,2,2,0,56,3,7,2,1,6214.0,3415.0,1,0,18.0,3,1,1,8.0,3,3,8.0,7.0,0.0,7.0
37,0,2,1192,1,5,2,3,4,1,61,3,4,4,0,6347.0,23177.0,7,0,16.0,3,3,2,8.0,2,2,6.0,2.0,0.0,4.0
38,0,2,343,1,15,2,1,3,1,92,2,5,4,0,11510.0,15682.0,0,1,14.0,3,2,1,12.0,3,3,11.0,10.0,2.0,9.0
31,0,2,1232,1,7,4,3,3,0,39,3,4,4,2,7143.0,25713.0,1,1,14.0,3,3,0,11.0,2,2,11.0,9.0,4.0,10.0
29,0,2,144,2,10,1,2,4,0,39,2,7,2,0,8268.0,11866.0,1,1,14.0,3,1,2,7.0,2,3,7.0,7.0,1.0,7.0
35,0,2,1296,1,5,4,5,3,1,62,3,4,2,2,8095.0,18264.0,0,0,13.0,3,4,0,17.0,5,3,16.0,6.0,0.0,13.0
23,0,2,1309,1,26,1,1,3,1,83,3,6,4,0,2904.0,16092.0,1,0,12.0,3,3,2,4.0,2,2,4.0,2.0,0.0,2.0
41,0,2,483,1,6,3,3,4,1,95,2,4,2,2,6032.0,10110.0,6,1,15.0,3,4,0,8.0,3,3,5.0,4.0,1.0,2.0
